Rank Type,Branch,Name,Abbreviation,blah
Officer,Army,Second Lieutenant,2LT,
Officer,Army,First Lieutenant,1LT,
Officer,Army,Captain,CPT,
Officer,Army,Major,MAJ,
Officer,Army,Lieutenant Colonel,LTC,
Officer,Army,Colonel,COL,
Officer,Army,Brigadier General,BG,
Officer,Army,Major General,MG,
Officer,Army,Lieutenant General,LTG,
Officer,Army,General,GEN,
Officer,Army,General Of The Army,GOA,
Warrant,Army,Warrant Officer 1,WO1,
Warrant,Army,Chief Warrant Officer 2,CW2,
Warrant,Army,Chief Warrant Officer 3,CW3,
Warrant,Army,Chief Warrant Officer 4,CW4,
Warrant,Army,Chief Warrant Officer 5,CW5,
Enlisted,Army,Private,PV2,
Enlisted,Army,Private First Class,PFC,
Enlisted,Army,Specialist,SPC,
Enlisted,Army,Corporal,CPL,
Enlisted,Army,Sergeant,SGT,
Enlisted,Army,Staff Sergeant,SSG,
Enlisted,Army,Sergeant First Class,SFC,
Enlisted,Army,Master Sergeant,MSG,
Enlisted,Army,First Sergeant,1SG,
Enlisted,Army,Sergeant Major,SGM,
Enlisted,Army,Command Sergeant Major,CSM,
Enlisted,Army,Sergeant Major Of The Army,SMA,
Officer,Air Force,Second Lieutenant,2d Lt,
Officer,Air Force,First Lieutenant,1st L,
Officer,Air Force,Captain,Capt,
Officer,Air Force,Major,Maj,
Officer,Air Force,Lieutenant Colonel,Lt Co,
Officer,Air Force,Colonel,Col,
Officer,Air Force,Brigadier General,Brig,
Officer,Air Force,Major General,Maj G,
Officer,Air Force,Lieutenant General,Lt Ge,
Officer,Air Force,General,Gen,
Officer,Air Force,General Of The Air Force,GAF,
Enlisted,Air Force,Airman Basic,AB,
Enlisted,Air Force,Airman,Amn,
Enlisted,Air Force,Airman First Class,A1C,
Enlisted,Air Force,Senior Airman,SrA,
Enlisted,Air Force,Staff Sergeant,SSgt,
Enlisted,Air Force,Technical Sergeant,TSgt,
Enlisted,Air Force,Master Sergeant,MSgt,
Enlisted,Air Force,Senior Master Sergeant,SMSgt,
Enlisted,Air Force,Chief Master Sergeant,CMSgt,
Enlisted,Air Force,Command Chielf Master Sergeant,CCM,
Enlisted,Air Force,Chief Master Sergeant Of The Air Force,CMSAF,
Officer,Navy,Ensign,ENS,
Officer,Navy,Lieutenant Junior Grade,LTJG,
Officer,Navy,Lieutenant,LT,
Officer,Navy,Lieutenant Commander,LCDR,
Officer,Navy,Commander,CDR,
Officer,Navy,Captain,CAPT,
Officer,Navy,Rear Admiral Lower Half,RDML,
Officer,Navy,Rear Admiral,RADM,
Officer,Navy,Vice Admiral,VADM,
Officer,Navy,Admiral,ADM,
Officer,Navy,Fleet Admiral,FADM,
Warrant,Navy,Chief Warrant Officer 2,CW2,
Warrant,Navy,Chief Warrant Officer 3,CW3,
Warrant,Navy,Chief Warrant Officer 4,CW4,
Warrant,Navy,Chief Warrant Officer 5,CW5,
Enlisted,Navy,Seaman Recruit,SR,
Enlisted,Navy,Seaman Apprentice,SA,
Enlisted,Navy,Seaman,SN,
Enlisted,Navy,Petty Officer Third Class,PO3,
Enlisted,Navy,Petty Officer Second Class,PO2,
Enlisted,Navy,Petty Officer First Class,PO1,
Enlisted,Navy,Chief Petty Officer,CPO,
Enlisted,Navy,Senior Chief Petty Officer,SCPO,
Enlisted,Navy,Master Chief Petty Officer,MCPO,
Enlisted,Navy,Command Master Chief Petty Officer,CMDCM,
Enlisted,Navy,Master Chief Petty Officer Of The Navy,MCPON,
Officer,Marine Corps,Second Lieutenant,2ndLt,
Officer,Marine Corps,First Lieutenant,1stLt,
Officer,Marine Corps,Captain,Capt,
Officer,Marine Corps,Major,Maj,
Officer,Marine Corps,Lieutenant Colonel,LtCol,
Officer,Marine Corps,Colonel,Col,
Officer,Marine Corps,Brigadier General,Bgen,
Officer,Marine Corps,Major General,MajGen,
Officer,Marine Corps,Lieutenant General,LtGen,
Officer,Marine Corps,General,Gen,
Warrant,Marine Corps,Warrant Officer 1,WO1,
